date	authors	isbn	title
July 2015	['Jason Myers', 'Rick Copeland']	0636920035800	Essential SQLAlchemy
July 2015	['Aaron Cordova', 'Billie Rinaldi', 'Michael Wall']	0636920032304	Accumulo
June 2015	['Mark Grover', 'Ted Malaska', 'Jonathan Seidman', 'Gwen Shapira']	0636920033196	Hadoop Application Architectures
June 2015	['SAS Institute']	9781629597584	Using JMP Student Edition, Third Edition
June 2015	['Ferran Garcia Pagans']	9781784395803	Predictive Analytics Using Rattle and Qlik Sense
June 2015	['Ben  Spivey', 'Joey  Echeverria']	0636920033332	Hadoop Security
June 2015	['Priscilla Walmsley']	0636920035589	XQuery
June 2015	['Matjaz B. Juric', 'Sven Bernhardt', 'Hajo Normann', 'Danilo Schmiedel', 'Guido Schmutz', 'Mark Simpson', 'Torsten Winterberg']	9781849689441	Design Principles for Process-driven Architectures Using Oracle BPM and SOA Suite 12c
June 2015	['Duncan M. McGreggor']	9781783987542	Mastering matplotlib
June 2015	['Dharmesh Kakadia']	9781783288762	Apache Mesos Essentials
June 2015	['Alexander Bruy', 'Daria Svidzinska']	9781782174677	QGIS By Example
June 2015	['Edwood Ng', 'Vineeth Mohan']	9781782162285	Lucene 4 Cookbook
June 2015	['Vinoo Das']	9781783980123	Learning Redis
June 2015	['Pravin S. Ingawale']	9781782177388	Oracle E-Business Suite R12.x HRMS – A Functionality Guide
June 2015	['Erik Westra']	9781782174516	Python Geospatial Analysis Essentials
June 2015	['Wilson da Rocha Franca']	9781782175346	MongoDB Data Modeling
June 2015	['Femi Anthony']	9781783981960	Mastering pandas
June 2015	['Jayani Withanawasam']	9781783554997	Apache Mahout Essentials
June 2015	["O'Reilly Media", 'Inc.']	0636920043928	Startup Essentials
June 2015	['Karim Bahgat']	9781782175407	Python Geospatial Development Essentials
June 2015	['Daniel Bartholomew']	9781785284120	Getting Started with MariaDB, 2nd Edition
June 2015	['Sumit Mund']	9781784390792	Microsoft Azure Machine Learning
June 2015	['Nikhil Buduma']	0636920039709	Fundamentals of Deep Learning
June 2015	['Ryan Mitchell']	0636920034391	Web Scraping with Python
June 2015	['Ian Robinson', 'Jim Webber', 'Emil Eifrem']	0636920041832	Graph Databases, 2nd Edition
May 2015	['Ajit Kumar']	9781785289767	Sencha Charts Essentials
May 2015	['Michael Covert', 'Victoria Loewengart']	9781785288913	Learning Cascading
May 2015	['Kyle Smith']	9781785285295	Splunk Developer's Guide
May 2015	['Ankur Goel']	9781783287253	Neo4j Cookbook
May 2015	['James Church']	9781784394707	Learning Haskell Data Analysis
May 2015	['David Smiley', 'Eric Pugh', 'Kranti Parisa', 'Matt Mitchell']	9781782161363	Apache Solr Enterprise Search Server, 3rd Edition
May 2015	['Michael Heydt']	9781783985104	Mastering pandas for Finance
May 2015	['Megan Squire']	9781785284014	Clean Data
May 2015	['Mike Barlow']	0636920034193	The Last Mile of Analytics: Making the Leap from Platforms to Tools
May 2015	['Lauren Haworth Lake', 'Julie McKnight']	9781607649908	PROC TABULATE by Example, Second Edition
May 2015	['Susan Prosser', 'Stuart Gripman']	0636920036111	FileMaker Pro 14: The Missing Manual
May 2015	['Keith McCormick', 'Jesus Salcedo']	9781118989012	SPSS Statistics for Dummies, 3rd Edition
May 2015	['Mohammad Kamrul  Islam', 'Aravind Srinivasan']	0636920030546	Apache Oozie
May 2015	["O'Reilly Media", 'Inc.']	0636920040361	Navigating the Health Data Ecosystem
May 2015	['Patrick LeBlanc', 'Jessica  M.  Moss', 'Dejan Sarka', 'Dustin Ryan']	9781118961773	Applied Microsoft Business Intelligence
May 2015	['Gerhard Svolba']	9781607646204	Data Quality for Analytics Using SAS
April 2015	['Rajiv Tiwari']	9781784395162	Hadoop for Finance Essentials
April 2015	['Alberto Boschetti', 'Luca Massaron']	9781785280429	Python Data Science Essentials
April 2015	['Simon Riggs', 'Gianni Ciolli', 'Hannu Krosing', 'Gabriele Bartolini']	9781849519069	PostgreSQL 9 Administration Cookbook, 2nd Edition
April 2015	['Shiva Achari']	9781784396688	Hadoop Essentials
April 2015	['Christoph Korner']	9781784398484	Data Visualization with D3 and AngularJS
April 2015	['Hrishikesh Vijay Karambelkar']	9781783553396	Scaling Big Data with Hadoop and Solr, 2nd Edition
April 2015	['Raffael  Marty']	0636920040972	The Security Data Lake
April 2015	['Joshua N. Milligan']	9781784391164	Learning Tableau
April 2015	['Angel Marquez']	9781784395292	PostGIS Essentials
April 2015	['Jayant Kumar']	9781783981847	Apache Solr Search Patterns
April 2015	['John R. Talburt', 'Yinle Zhou']	9780128005378	Entity Information Life Cycle for Big Data
April 2015	['Sandra D. Schlotzhauer']	9781607643791	Elementary Statistics Using SAS
April 2015	['Neil Constable']	9781607645283	SAS Programming for Enterprise Guide Users, Second Edition
April 2015	['Mithat Gonen']	9781599942988	Analyzing Receiver Operating Characteristic Curves with SAS
April 2015	['Ron Cody']	9781612903330	Cody's Collection of Popular SAS Programming Tasks and How to Tackle Them
April 2015	['Dong Wang', 'Tarek Abdelzaher', 'Lance Kaplan']	9780128008676	Social Sensing
April 2015	['Gerhard Svolba']	9781599940472	Data Preparation for Analytics Using SAS
April 2015	['Ron Cody']	9781599946597	Cody's Data Cleaning Techniques Using SAS, Second Edition
April 2015	['Daniel Cowles']	0636920038504	Oil, Gas, and Data
April 2015	['Michael Heydt']	9781783985128	Learning pandas
April 2015	['Joel Grus']	0636920033400	Data Science from Scratch
April 2015	['Lars George']	0636920033943	HBase: The Definitive Guide
April 2015	['Timothy Boronczyk']	9780992461287	Jump Start MySQL
April 2015	['Sandy  Ryza', 'Uri  Laserson', 'Sean Owen', 'Josh Wills']	0636920035091	Advanced Analytics with Spark
March 2015	['Krishna Sankar', 'Holden Karau']	9781784392574	Fast Data Processing with Spark, 2nd Edition
March 2015	['Hans-Jurgen Schonig']	9781783555314	Troubleshooting PostgreSQL
March 2015	['David Lai', 'Xavier Hacking']	9781784391959	SAP BusinessObjects Dashboards 4.1 Cookbook
March 2015	['Jayadevan Maymala']	9781783288601	PostgreSQL for Data Architects
March 2015	['GISP Kurt Menke', 'GISP Dr. Richard Smith Jr.', 'Luigi Pirelli', 'GISP Dr. John Van Hoesen']	9781784398682	Mastering QGIS
March 2015	['Russell J.T. Dyer']	0636920029175	Learning MySQL and MariaDB
March 2015	['Shilpi Saxena']	9781784395490	Real-time Analytics with Storm and Cassandra
March 2015	['Nishant Neeraj']	9781784392611	Mastering Apache Cassandra, 2nd Edition
March 2015	['Hadley Wickham']	0636920034421	R Packages
March 2015	['Tom White']	0636920033448	Hadoop: The Definitive Guide, 4th Edition
March 2015	['Ted Dunning', 'Ellen Friedman']	0636920038450	Real-World Hadoop
March 2015	['Dennis Drogseth', 'Rick A Sturm', 'Dan Twing']	9780128012659	CMDB Systems
March 2015	['Mark Allen', 'Dalton Cervo']	9780128008355	Multi-Domain Master Data Management
March 2015	['Stephen A. Thomas']	9781593276058	Data Visualization with JavaScript
March 2015	['Kevin  Sitto', 'Marshall Presser']	0636920032830	Field Guide to Hadoop
March 2015	['Sonal Raj']	9781783555154	Neo4j High Performance
March 2015	['SAS Institute']	9781629594828	JMP 12 Scripting Guide
March 2015	['SAS Institute']	9781629594309	Discovering JMP 12
March 2015	['SAS Institute']	9781629594781	Using JMP 12
March 2015	['SAS Institute']	9781629594743	JMP 12 Specialized Models
March 2015	['Clement A. Stone', 'Xiaowen Zhu']	9781629596501	Bayesian Analysis of Item Response Theory Models Using SAS
March 2015	['SAS Institute']	9781629594668	JMP 12 Quality and Process Methods
February 2015	['Ibrar Ahmed', 'Asif Fayyaz', 'Amjad Shahzad']	9781783989027	PostgreSQL Developer's Guide
February 2015	['Rafal Kuc', 'Marek Rogozinski']	9781783553792	Mastering Elasticsearch, 2nd Edition
February 2015	['Stephen F. Elston']	0636920036029	Data Science in the Cloud with Microsoft Azure Machine Learning and R
February 2015	['Usama Dar', 'Hannu Krosing', 'Jim Mlodgenski', 'Kirk Roybal']	9781783980581	PostgreSQL Server Programming, 2nd Edition
February 2015	['Ashish Gupta']	9781783554959	Learning Apache Mahout Classification
February 2015	['Silas Toms']	9781783988662	ArcPy and ArcGIS – Geospatial Analysis with Python
February 2015	['Andrea Gazzarini']	9781784399641	Apache Solr Essentials
February 2015	['Nishant Garg']	9781784393090	Learning Apache Kafka, 2nd Edition
February 2015	['Dayong Du']	9781783558575	Apache Hive Essentials
February 2015	['Mat Brown']	9781783989201	Learning Apache Cassandra
February 2015	['Donabel Santos']	9781784391492	PowerShell for SQL Server Essentials
February 2015	['Steve Hoffman']	9781784392178	Apache Flume: Distributed Log Collection for Hadoop, 2nd Edition
